NameId,ScientificName,ScientificNameWithAuthors,Family,RankAbbreviation,NomenclatureStatusName,AttributionHTML,Author,DisplayReference,DisplayDate,TotalRows
100176037,Cyperus demangei,Cyperus demangei (J. Raynal) Lye,Cyperaceae,sp.,No opinion,"The name data was provided by WCSP, World Checklist of Selected Plant Families, facilitated by the Royal Botanic Gardens, Kew (<a href=""http://apps.kew.org/wcsp/"" target=""_blank"">http://apps.kew.org/wcsp/</a>).",(J. Raynal) Lye,Nordic J. Bot. 3: 231,1983,1
9906551,Scleria mikawana,Scleria mikawana Makino,Cyperaceae,sp.,No opinion,,Makino,Bot. Mag. (Tokyo) 27: 57,1913,1
1900039,Aponogeton afroviolaceus,Aponogeton afroviolaceus Lye,Aponogetonaceae,sp.,No opinion,,Lye,Bot. Not. 129: 68,1976,3
1900040,Aponogeton afroviolaceus var. afroviolaceus,Aponogeton afroviolaceus var. afroviolaceus ,Aponogetonaceae,var.,No opinion,,,,,3
1900041,Aponogeton afroviolaceus var. angustifolius,Aponogeton afroviolaceus var. angustifolius Lye,Aponogetonaceae,var.,No opinion,,Lye,Lidia 2: 6,1988,3
100236119,Ottelia kunenensis,Ottelia kunenensis (Gürke) Dandy,Hydrocharitaceae,sp.,No opinion,"The name data was provided by WCSP, World Checklist of Selected Plant Families, facilitated by the Royal Botanic Gardens, Kew (<a href=""http://apps.kew.org/wcsp/"" target=""_blank"">http://apps.kew.org/wcsp/</a>).",(Gürke) Dandy,J. Bot. 72: 137,1934,1
26100080,Monochoria africana,Monochoria africana (Solms) N.E. Br.,Pontederiaceae,sp.,No opinion,,(Solms) N.E. Br.,Fl. Trop. Afr. 8: 5,1901,1
50161414,Cyperus clavinux,Cyperus clavinux C.B. Clarke,Cyperaceae,sp.,No opinion,,C.B. Clarke,Consp. Fl. Afric. (1895) 551,,1
50210923,Sphaeranthus steetzii,Sphaeranthus steetzii Oliv. & Hiern,Asteraceae,sp.,No opinion,,Oliv. & Hiern,Fl. Trop. Afr. 3: 334,1877,1
50195239,Xyris lejolyanus,Xyris lejolyanus Lisowski,Xyridaceae,sp.,No opinion,,Lisowski,Syst. & Geogr. Pl. 69(2): 209,1999,1
100236127,Ottelia muricata,Ottelia muricata (C.H. Wright) Dandy,Hydrocharitaceae,sp.,No opinion,"The name data was provided by WCSP, World Checklist of Selected Plant Families, facilitated by the Royal Botanic Gardens, Kew (<a href=""http://apps.kew.org/wcsp/"" target=""_blank"">http://apps.kew.org/wcsp/</a>).",(C.H. Wright) Dandy,J. Bot. 72: 138,1934,1
50061556,Bulbostylis clarkeana,Bulbostylis clarkeana Hutch. ex M. Bodard,Cyperaceae,sp.,No opinion,,Hutch. ex M. Bodard,Bull. Soc. Bot. France 108: 308,1961,1
