Species Name,Link
Cyperus demangei,https://www.iucnredlist.org/species/185568/140397839
Scleria mikawana,https://www.iucnredlist.org/species/177151/140414349
Aponogeton afroviolaceus,https://www.iucnredlist.org/species/185421/8408378
Ottelia kunenensis,https://www.iucnredlist.org/species/185280/85687115
Monochoria africana,https://www.iucnredlist.org/species/185253/84274153
Cyperus clavinux,https://www.iucnredlist.org/species/185466/120149577
Sphaeranthus steetzii,https://www.iucnredlist.org/species/185512/84263170
Xyris lejolyanus,https://www.iucnredlist.org/species/185550/8434295
Ottelia muricata,https://www.iucnredlist.org/species/185323/85687493
Bulbostylis clarkeana,https://www.iucnredlist.org/species/185358/84270136
Nymphoides tenuissima,https://www.iucnredlist.org/species/185362/84256517
Eleocharis dulcis,https://www.iucnredlist.org/species/169077/1270989
Aponogeton junceus,https://www.iucnredlist.org/species/185365/8397091
Nymphoides rautanenii,https://www.iucnredlist.org/species/185293/8383507
Eriocaulon afzelianum,https://www.iucnredlist.org/species/140416272/140416277
Zantedeschia albomaculata,https://www.iucnredlist.org/species/185234/84259523
Utricularia microcalyx,https://www.iucnredlist.org/species/185235/8372309
Xyris gossweileri,https://www.iucnredlist.org/species/185364/8396906
Utricularia bracteata,https://www.iucnredlist.org/species/185464/8416824
Eriocaulon transvaalicum,https://www.iucnredlist.org/species/140417058/140417063
Aponogeton desertorum,https://www.iucnredlist.org/species/185498/8423145
Aponogeton rehmannii,https://www.iucnredlist.org/species/185487/84262580
Eriocaulon cinereum,https://www.iucnredlist.org/species/168957/1257189
Schoenoplectiella mucronata,https://www.iucnredlist.org/species/164086/99012191
Lagarosiphon ilicifolius,https://www.iucnredlist.org/species/185537/85686946
Fimbristylis squarrosa,https://www.iucnredlist.org/species/164330/1041579
Juncus oxycarpus,https://www.iucnredlist.org/species/185311/120208164
Juncus punctorius,https://www.iucnredlist.org/species/164454/13559103
Juncus dregeanus subsp. bachitii,https://www.iucnredlist.org/species/185616/84273150
Aspilia helianthoides,https://www.iucnredlist.org/species/185533/8430621
Ascolepis lineariglumis,https://www.iucnredlist.org/species/185218/84265522
Ottelia fischeri,https://www.iucnredlist.org/species/185606/120206290
Litogyne gariepina,https://www.iucnredlist.org/species/185463/84263955
Rhynchospora gracillima,https://www.iucnredlist.org/species/177252/1475364
Nymphoides indica,https://www.iucnredlist.org/species/168916/120213259
Aponogeton stuhlmannii,https://www.iucnredlist.org/species/185586/84262770
Nymphoides brevipedicellata,https://www.iucnredlist.org/species/185248/120213014
Lagarosiphon cordofanus,https://www.iucnredlist.org/species/185529/120203981
Conyza clarenceana,https://www.iucnredlist.org/species/185252/84264896
Ascolepis capensis,https://www.iucnredlist.org/species/120156796/120156807
Eleocharis acutangula,https://www.iucnredlist.org/species/168696/1210378
Sesbania bispinosa,https://www.iucnredlist.org/species/175224/84298446
Cyperus papyrus,https://www.iucnredlist.org/species/164158/120152171
Typha capensis,https://www.iucnredlist.org/species/185278/84274974
Adenostemma caffrum,https://www.iucnredlist.org/species/185223/120121998
Anagallis kochii,https://www.iucnredlist.org/species/185314/8387246
Anagallis elegantula,https://www.iucnredlist.org/species/185518/8427373
Hypoestes aristata,https://www.iucnredlist.org/species/186077/84260315
Cyperus imbricatus,https://www.iucnredlist.org/species/164164/140392815
Oryza schweinfurthiana,https://www.iucnredlist.org/species/112680873/113899796
Cyperus compressus,https://www.iucnredlist.org/species/164257/120149831
Hygrophila senegalensis,https://www.iucnredlist.org/species/185427/8409525
Rhynchospora holoschoenoides,https://www.iucnredlist.org/species/68150126/68150133
Juncus dregeanus,https://www.iucnredlist.org/species/185395/84272749
Aponogeton vallisnerioides,https://www.iucnredlist.org/species/185451/84262284
Eriocaulon setaceum,https://www.iucnredlist.org/species/168896/1250548
Ottelia verdickii,https://www.iucnredlist.org/species/185488/84271267
Najas pectinata,https://www.iucnredlist.org/species/164393/96560523
Rhynchospora corymbosa,https://www.iucnredlist.org/species/177041/65923458
Digitaria nuda,https://www.iucnredlist.org/species/122101352/122105040
Juncus rigidus,https://www.iucnredlist.org/species/185693/13559337
Cyperus digitatus,https://www.iucnredlist.org/species/164510/136667466
Oryza barthii,https://www.iucnredlist.org/species/21346729/21413365
Eleocharis atropurpurea,https://www.iucnredlist.org/species/177168/140398450
Heteranthera callifolia,https://www.iucnredlist.org/species/185411/120216733
Nymphoides forbesiana,https://www.iucnredlist.org/species/185217/84273748
Myriophyllum spicatum,https://www.iucnredlist.org/species/164481/120202935
Cyperus amabilis,https://www.iucnredlist.org/species/177321/120148551
Oryza punctata,https://www.iucnredlist.org/species/21347040/21413370
Eleocharis atropurpurea,https://www.iucnredlist.org/species/177168/140398450
Rhipsalis baccifera,https://www.iucnredlist.org/species/62378/121561919
Pistia stratiotes,https://www.iucnredlist.org/species/168937/120126770
Cyperus rotundus,https://www.iucnredlist.org/species/158183/120153257
Aeschynomene indica,https://www.iucnredlist.org/species/168855/120202097
Potamogeton schweinfurthii,https://www.iucnredlist.org/species/164325/120220079
Centrostachys aquatica,https://www.iucnredlist.org/species/168966/120121409
Schoenoplectiella senegalensis,https://www.iucnredlist.org/species/177212/140404180
Oryza longistaminata,https://www.iucnredlist.org/species/21346729/21413365
Eleocharis geniculata,https://www.iucnredlist.org/species/164144/65912708
Cyperus longus,https://www.iucnredlist.org/species/164287/140394665
Ascolepis elata,https://www.iucnredlist.org/species/185434/8411073
Cyperus iria,https://www.iucnredlist.org/species/169017/140393291
Enydra fluctuans,https://www.iucnredlist.org/species/168994/66902915
Alternanthera sessilis,https://www.iucnredlist.org/species/164480/120120173
Limnophyton obtusifolium,https://www.iucnredlist.org/species/168929/84290883
Grangea maderaspatana,https://www.iucnredlist.org/species/163963/84286515
Potamogeton trichoides,https://www.iucnredlist.org/species/164357/84297799
Potamogeton octandrus,https://www.iucnredlist.org/species/168788/120218387
Vallisneria spiralis,https://www.iucnredlist.org/species/164121/120206775
Landoltia punctata,https://www.iucnredlist.org/species/168991/6559440
Nymphaea nouchali,https://www.iucnredlist.org/species/168917/120213841
Crassocephalum picridifolium,https://www.iucnredlist.org/species/185256/84264279
Hydrilla verticillata,https://www.iucnredlist.org/species/167871/65905991
Trapa natans,https://www.iucnredlist.org/species/164153/120228484
Typha domingensis,https://www.iucnredlist.org/species/164208/120229199
Fimbristylis bisumbellata,https://www.iucnredlist.org/species/164037/140402454
Potamogeton nodosus,https://www.iucnredlist.org/species/164227/67791533
Najas marina,https://www.iucnredlist.org/species/164322/120204953
Juncus effusus,https://www.iucnredlist.org/species/164223/65914179
Stuckenia pectinata,https://www.iucnredlist.org/species/168962/120220519
Spirodela polyrhiza,https://www.iucnredlist.org/species/164229/120208445
Potamogeton pusillus,https://www.iucnredlist.org/species/163982/120218868
Zannichellia palustris,https://www.iucnredlist.org/species/164133/96575438
