species,red_list_url
Aaadonta constricta,https://www.iucnredlist.org/species/4/3013586
Aaadonta fuscozonata,https://www.iucnredlist.org/species/5/3084990
Aaadonta irregularis,https://www.iucnredlist.org/species/6/3136753
Aaadonta kinlochi,https://www.iucnredlist.org/species/7/3145171
Aaadonta pelewana,https://www.iucnredlist.org/species/8/3148704
Aaptosyax grypus,https://www.iucnredlist.org/species/9/13090494
Abrocoma boliviensis,https://www.iucnredlist.org/species/18/22182349
Abronia montecristoi,https://www.iucnredlist.org/species/20/2774433
Acanthaeschna victoria,https://www.iucnredlist.org/species/43/14255260
Acanthinula spinifera,https://www.iucnredlist.org/species/59/13065420
Mirogrex hulensis,https://www.iucnredlist.org/species/73/19848542
Acanthochelys pallidipectoris,https://www.iucnredlist.org/species/75/217758862
Paracanthocobitis urophthalma,https://www.iucnredlist.org/species/79/150839809
Salmo ohridanus,https://www.iucnredlist.org/species/81/13080520
Acerodon celebensis,https://www.iucnredlist.org/species/137/220501878
Acerodon humilis,https://www.iucnredlist.org/species/138/115517951
Acerodon jubatus,https://www.iucnredlist.org/species/139/21988328
Acerodon leucotis,https://www.iucnredlist.org/species/140/21988055
Acerodon mackloti,https://www.iucnredlist.org/species/142/21989107
Achalinus werneri,https://www.iucnredlist.org/species/161/96877297
Acheilognathus elongatus,https://www.iucnredlist.org/species/212/13052083
Acheilognathus longipinnis,https://www.iucnredlist.org/species/213/116034178
Aciagrion rarum,https://www.iucnredlist.org/species/214/75306973
Acicula norrisi,https://www.iucnredlist.org/species/215/96066517
Acicula hausdorfi,https://www.iucnredlist.org/species/217/13032961
Acinonyx jubatus,https://www.iucnredlist.org/species/219/247393967
Acipenser brevirostrum,https://www.iucnredlist.org/species/222/97439806
Acipenser fulvescens,https://www.iucnredlist.org/species/223/58134229
Acipenser naccarii,https://www.iucnredlist.org/species/224/135061929
Acipenser nudiventris,https://www.iucnredlist.org/species/225/227579266
Acipenser ruthenus,https://www.iucnredlist.org/species/227/135062526
