,Scientific Name,Common Name,Class,Biome,IUCN Red List status,percentage of species global range in EAAA,CH trigger,Criterion,Justification
0,Asarcornis scutulata,White-winged Duck,AVES,[1],EN,0.062741,Likely,1a,EN with 0.06% range overlap
1,Cuora mouhotii,Keeled Box Turtle,REPTILIA,[1],EN,0.100468,Likely,1a,EN with 0.10% range overlap
2,Elephas maximus,Asian Elephant,MAMMALIA,[1],EN,0.071311,Likely,1a,EN with 0.07% range overlap
3,Heliopais personatus,Masked Finfoot,AVES,[1],CR,0.080778,Likely,1a,CR with 0.08% range overlap
4,Hoolock hoolock,Western Hoolock Gibbon,MAMMALIA,[1],EN,0.196675,Likely,1a,EN with 0.19% range overlap
5,Houbaropsis bengalensis,Bengal Florican,AVES,[1],CR,0.233019,Likely,1a,CR with 0.23% range overlap
6,Laticilla cinerascens,Swamp Grass-babbler,AVES,[1],EN,0.624851,Likely,1a,EN with 0.62% range overlap
7,Manouria emys,Asian Giant Tortoise,REPTILIA,[1],CR,0.103205,Likely,1a,CR with 0.10% range overlap
8,Melanochelys tricarinata,Tricarinate Hill Turtle,REPTILIA,[1],EN,0.176705,Likely,1a,EN with 0.17% range overlap
9,Nilssonia nigricans,Black Softshell Turtle,REPTILIA,[1],CR,0.689402,Likely,1a,CR with 0.68% range overlap
10,Pangshura sylhetensis,Assam Roofed Turtle,REPTILIA,[1],CR,0.399421,Likely,1a,CR with 0.39% range overlap
11,Perdicula manipurensis,Manipur Bush-quail,AVES,[1],EN,0.456855,Likely,1a,EN with 0.45% range overlap
12,Tor putitora,,ACTINOPTERYGII,[1],EN,0.058146,Likely,1a,EN with 0.05% range overlap
13,Trachypithecus pileatus ssp. pileatus,Blond-bellied Langur,MAMMALIA,[1],EN,0.220375,Likely,1a,EN with 0.22% range overlap
