OID_,sci_name,class,family,order_,biome_freshwater,biome_marine,biome_terrestrial,category,criteria,common_name,movementpattern,Range_Areakm2,FW_Width,FW_Length,Igola_Luhololo,Luisenga,Mwenga,Sens_Score,Sens_Score_1
1,Acanthocercus gregorii,REPTILIA,AGAMIDAE,SQUAMATA,false,false,true,LC,,,,1403570.181496318895370,,,0.039113447380807,0.027511086157452,0.030694640331682,,
2,Accipiter badius,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Shikra,Full Migrant,22852830.089360944926739,,,0.002402261261496,0.001689669946356,0.001885196788881,,10.000000000000000
3,Accipiter minullus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,true,false,true,LC,,Little Sparrowhawk,Not a Migrant,6794428.948134060017765,,,0.008079923840296,0.005683147249892,0.006340795117614,,10.000000000000000
4,Accipiter ovampensis,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Ovambo Sparrowhawk,Nomadic,7295101.699948968365788,,,0.007525387677544,0.005293105124421,0.005905617724508,,10.000000000000000
5,Accipiter rufiventris,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Rufous-breasted Sparrowhawk,Not a Migrant,756058.257610715343617,,,,0.051072440255070,0.054358586913821,,10.000000000000000
6,Accipiter tachiro,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,true,false,true,LC,,African Goshawk,Not a Migrant,5174142.766788342967629,,,0.010610157259596,0.007462828517031,0.008326419243365,,10.000000000000000
7,Acisoma inflatum,INSECTA,LIBELLULIDAE,ODONATA,true,false,true,LC,,Stout Pintail,,13747146.009083740413189,,,0.003993444777771,0.002808855028212,0.003133892800210,,
8,Acisoma variegatum,INSECTA,LIBELLULIDAE,ODONATA,true,false,true,LC,,Slender Pintail,Not a Migrant,2475131.198975939769298,,,0.022180023613269,0.015600684199616,0.017405979090649,,
9,Acmella uliginosa,MAGNOLIOPSIDA,ASTERACEAE,ASTERALES,false,false,true,LC,,,,4537276.647868277505040,,,0.012099431597370,0.008510334103017,0.009495141082381,,
10,Acomys ngurui,MAMMALIA,MURIDAE,RODENTIA,false,false,true,LC,,Nguru Spiny Mouse,,261359.326325235859258,,,,0.114425514422239,0.164838509905295,,
11,Acrocephalus arundinaceus,AVES,ACROCEPHALIDAE,PASSERIFORMES,true,false,true,LC,,Great Reed-warbler,Full Migrant,36254207.310005329549313,,,0.001514264757461,0.001065083008463,0.001188333302475,,
