sci_name,class_name,family_name,order_name,biome_freshwater,biome_marine,biome_terrestrial,category,legend,criteria,common_name,movementpattern,Range_Areakm2,FW_Width,FW_Length,Avian_EAAA,Districts,FW_EAAA,Terrestrial_EAAA,Sensitivity_Score_TL,Sensitivity_Score_WF,aoo_km2,eoo_km2
Abroscopus albogularis,AVES,SCOTOCERCIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Rufous-faced Warbler,Not a Migrant,1712093.396,,,,0.224154428,,,,,,
Abroscopus schisticeps,AVES,SCOTOCERCIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Black-faced Warbler,Not a Migrant,912615.9318,,,0.000731106,0.065228918,,,,,,
Abroscopus superciliaris,AVES,SCOTOCERCIDAE,PASSERIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Yellow-bellied Warbler,Altitudinal Migrant,2508151.983,,,0.089182459,0.483254114,0.0251525,0.010692784,,,,
Acanthopotamon fungosum,MALACOSTRACA,POTAMIDAE,DECAPODA,TRUE,FALSE,FALSE,DD,Probably Extant (resident),,,,121927.5792,470.9332729,2064.728392,,0.746918403,,,,,,
Acanthus ilicifolius,MAGNOLIOPSIDA,ACANTHACEAE,LAMIALES,TRUE,TRUE,FALSE,LC,Possibly Extant (resident),,Holy Mangrove,,25571639.38,,,0.008747314,0.048039063,0.002467041,0.001048784,,,,
Acantopsis choirorhynchos,ACTINOPTERYGII,COBITIDAE,CYPRINIFORMES,TRUE,FALSE,FALSE,LC,Probably Extant (seasonality uncertain),,Horse face loach,Full Migrant,1398500.485,,,,0.228832106,,,,,,
Accipiter badius,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Shikra,Full Migrant,22975402.77,,,0.009735767,0.053467511,0.002745819,0.001167297,,10,,
Accipiter nisus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,LC,Extant (non-breeding),,Eurasian Sparrowhawk,Full Migrant,36705282.44,,,0.006094032,0.033467597,0.001718725,0.000730661,,10,,
Accipiter trivirgatus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Crested Goshawk,Not a Migrant,3385402.695,,,0.066072837,0.362863066,0.018634797,0.00792199,,10,,
Accipiter virgatus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,FALSE,FALSE,TRUE,LC,Extant (resident),,Besra,Altitudinal Migrant,4418447.726,,,0.050624829,0.2780247,0.014277931,0.006069808,,10,,
