OID_,sci_name,class,family,order_,biome_freshwater,biome_marine,biome_terrestrial,category,criteria,common_name,movementpattern,Range_Areakm2,FW_Width,FW_Length,Hazira_10,Hazira_15,Hazira_20,Hazira_25,Kudankulam_10,Kudankulam_15,Kudankulam_20,Kudankulam_25,Muttom_10,Muttom_15,Muttom_20,Muttom_25,Pipavav_10,Pipavav_15,Pipavav_20,Pipavav_25,Tuticorin_10,Tuticorin_15,Tuticorin_20,Tuticorin_25,Vizhinjam_10,Vizhinjam_15,Vizhinjam_20,Vizhinjam_25,Sens_Score,Sens_Score_1
1,Acanthopagrus berda,ACTINOPTERYGII,SPARIDAE,PERCIFORMES,true,true,false,LC,,Picnic Seabream,,4122544.769460645038635,,,0.007728686344760,0.015778923732706,0.026509627443176,0.038936133309477,0.003806415163589,0.008836710235926,0.015503124295643,0.024279054880736,0.004158555613871,0.009341823915095,0.016679083935143,0.026296074171495,0.005357894761115,0.010832860921123,0.018338559359536,0.027748045932413,0.008807559595949,0.016058710953314,0.024862267681579,0.034985149397744,0.004848715125588,0.010336642586772,0.017869269066049,0.027438672241796,,
2,Acanthus ebracteatus,MAGNOLIOPSIDA,ACANTHACEAE,LAMIALES,false,true,true,LC,,Sea Holly,,5787285.764074793085456,,,,,,,0.002599209113317,0.004884737958337,0.007232706022304,0.010137660215005,0.002958981910459,0.006649709094232,0.011875620424686,0.018724977518439,,,,,,,,,0.003453101819454,0.007361210036915,0.012726063702555,0.019542128766921,,
3,Acanthus ilicifolius,MAGNOLIOPSIDA,ACANTHACEAE,LAMIALES,true,true,false,LC,,Holy Mangrove,,25478497.134850434958935,,,0.000414139676439,0.001013700166082,0.001953090021465,0.003153419964792,0.000657861034033,0.001410176505455,0.002509615866364,0.003867509153355,0.000578406228392,0.001285435974221,0.002254479994516,0.003478732578353,0.000811229098770,0.001669498849710,0.002811530417838,0.004257590182705,0.000440202177093,0.001073421719319,0.002071904561217,0.003466540970486,0.000666795022548,0.001419539820841,0.002459557718478,0.003788342307811,,
4,Accipiter badius,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Shikra,Full Migrant,22852830.089360944926739,,,0.000308345261723,0.000729728721806,0.001355724190629,0.002363373735417,0.000757803395073,0.001601030453456,0.002837852649279,0.004381386156755,0.000662205736658,0.001462018933915,0.002561670496089,0.003937796898098,0.000838700533131,0.001771847092587,0.003027075475877,0.004626355078606,0.000452133135684,0.001166898568684,0.002290234062718,0.003863015632198,0.000729824134492,0.001567610724189,0.002725265357199,0.004202819069768,,10.000000000000000
5,Accipiter nisus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Eurasian Sparrowhawk,Full Migrant,36691436.659250073134899,,,0.000165134250873,0.000427716350484,0.000807641238273,0.001431503820757,,,,,,,,,0.000226398267542,0.000466199446311,0.000778155000022,0.001170433492904,,,,,,,,,,10.000000000000000
6,Accipiter trivirgatus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Crested Goshawk,Not a Migrant,3366432.141592449508607,,,,,,,,,,,0.002898125258182,0.006514270851189,0.011357915814747,0.017204425928853,,,,,,,,,0.004954368938844,0.010641634795492,0.018500306385354,0.028530594393858,,10.000000000000000
7,Accipiter virgatus,AVES,ACCIPITRIDAE,ACCIPITRIFORMES,false,false,true,LC,,Besra,Altitudinal Migrant,4397994.526573592796922,,,,,,,0.003937342794011,0.008319115613179,0.014746287653135,0.022766527767202,0.003440760355526,0.007597004948140,0.013311149542138,0.020461783610510,,,,,0.001089359506221,0.003264508227691,0.006840902593571,0.011823173283333,0.003791943857178,0.008144778246123,0.014159928559649,0.021837600178965,,10.000000000000000
8,Aciagrion hisopa,INSECTA,COENAGRIONIDAE,ODONATA,true,false,false,LC,,,,3601539.030768936499953,,,0.000396820928166,0.001836983153799,0.003264862480991,0.005183997099991,,,,,,,0.001043010322664,0.004084417759009,,,,,,,,,0.004717132016726,0.010042301624144,0.017399226437980,0.026233130713090,,
9,Aciagrion occidentale,INSECTA,COENAGRIONIDAE,ODONATA,true,false,true,LC,,,,3011424.375071523711085,,,0.000474581421618,0.002196955893044,0.003904640525832,0.006199846174310,0.005565907817405,0.011930958104505,0.021232889389501,0.032721499400234,0.004893671431652,0.010875576706275,0.019074283437548,0.029432211137085,,,,,0.003724380396421,0.009081806080388,0.017529583297404,0.029329062657359,0.005641494839506,0.012010177495243,0.020809366757470,0.032051699333510,,
10,Acmella paniculata,MAGNOLIOPSIDA,ASTERACEAE,ASTERALES,true,false,false,LC,,Panicled Spot Flower,,1204985.961501407437027,,,0.008756663477171,0.021433906785882,0.041296579467204,0.066676628695182,0.013909963274467,0.029817092648196,0.053063888463123,0.081775492853025,0.012229952799205,0.027179550494869,0.047669237581227,0.073555112559181,,,,,0.009307734916551,0.022696672885778,0.043808821109314,0.073297330430574,0.014098865558866,0.030015072717565,0.052005447603031,0.080101571071527,,
